month,origin_month,horizon,padd,padd_name,model,stock_kb,previous_stock_kb,stock_change_kb,identity_stock_unclipped_kb,balance_kbd,model_reconciliation_kbd,supply_kbd,total_demand_kbd,production_kbd,demand_kbd,imports_kbd,exports_kbd,net_receipts_kbd,adjustments_kbd,transfers_kbd,direct_use_kbd,cdu_capacity_kbd,utilization_ratio
2027-05-01,2026-06-01,11,1,East Coast,constrained_level,8328.602989891726,8305.071992622004,23.53099726972141,17684.657493173952,20.443180740080606,-19.684116312025076,846.9521620583716,826.5089813182913,53.113266129032255,822.0677274780455,631.6256355606758,4.4412538402457855,134.18851574500766,-122.78306643625189,150.80781105990783,0.0,928.0,0.8858488442651352
2027-06-01,2026-06-01,12,1,East Coast,constrained_level,8370.33853157005,8328.602989891726,41.73554167832481,19032.732863436206,44.93584567540847,-43.54466095279765,827.6902265745007,782.7543808990924,50.89154569892473,779.6389335104595,632.3585387864823,3.115447388632873,140.16658026113672,-128.71747503840245,132.99103686635948,0.0,928.0,0.840128161110409
2026-07-01,2026-06-01,1,2,Midwest,constrained_level,98600.02767701299,98619.0,-18.972322987014195,95953.6718627181,-85.97832700909385,85.36631659015791,4114.4910368663595,4200.4693638754525,1854.980460829493,4059.830857731059,2917.6416993087555,140.6385061443932,-658.7358813364058,-73.20411290322576,73.80887096774192,0.0,4283.0,0.9478941997971186
2026-08-01,2026-06-01,2,2,Midwest,constrained_level,98544.19974955507,98600.02767701299,-55.827927457910846,92218.17551599455,-120.49988215237272,118.69898126663367,4108.226520737327,4228.726402889699,1868.8062672811059,4095.7717677130477,2874.719118663594,132.95463517665127,-612.8713652073736,-113.32024193548389,90.89274193548385,0.0,4283.0,0.9562857267599925
2026-09-01,2026-06-01,3,2,Midwest,constrained_level,98313.40943661127,98544.19974955507,-230.79031294380547,90562.30681393879,-55.195623401858484,47.5026129703983,4058.82049923195,4114.016122633809,1902.0841167434714,3978.298261650706,2903.0244950076803,135.7178609831029,-743.2313652073735,-80.47206989247303,77.41532258064515,0.0,4283.0,0.9288578710368214
2026-10-01,2026-06-01,4,2,Midwest,constrained_level,98904.12536375984,98313.40943661127,590.7159271485725,91225.94118253778,21.407560277386438,-2.352207788722808,3938.645875576037,3917.2383152986504,1898.0320737327188,3813.361099476838,2881.738473502304,103.87721582181256,-843.5487845622122,-88.01056451612905,90.43467741935483,0.0,4283.0,0.8903481437022736
2026-11-01,2026-06-01,5,2,Midwest,constrained_level,100465.29698731125,98904.12536375984,1561.1716235514032,91507.23291677135,9.376391141118802,42.662662977261306,4104.30049923195,4094.9241080908314,1921.2641167434713,3968.6195804410618,3021.1178283410136,126.30452764976955,-856.8246985407067,-60.85206989247315,79.59532258064516,0.0,4283.0,0.9265980808874765
2026-12-01,2026-06-01,6,2,Midwest,constrained_level,101362.00365660021,100465.29698731125,896.7066692889639,93028.81303007394,49.08322946137423,-20.157207871407653,4180.781359447004,4131.698129985631,1867.948202764977,4004.08543029285,3109.364279953917,127.61269969278031,-763.4068490783411,-134.1008870967742,100.97661290322581,0.0,4283.0,0.9348786902388163
2027-01-01,2026-06-01,7,2,Midwest,constrained_level,102612.86530479186,101362.00365660021,1250.8616481916542,93954.32813154536,29.85532585391684,10.495049894201038,4114.155552995391,4084.300227141475,1813.1869124423963,3972.590753255146,3105.6094412442394,111.70947388632871,-747.7423329493089,-165.0879838709678,108.18951612903226,0.0,4283.0,0.927525275100431
2027-02-01,2026-06-01,8,2,Midwest,constrained_level,103552.41139889577,102612.86530479186,939.5460941039055,96242.1834012082,81.70911677367258,-48.15389912710452,4113.375392499602,4031.6662757259296,1874.746152868266,3894.9680206541566,3031.825069720324,136.69825507177282,-754.4666854044178,-191.55702884157006,152.82788415699986,0.0,4283.0,0.9094018259757545
