padd,model,split,mae_kb,rmse_kb,r2,n
4,rolling_ridge_change,holdout,637.5838199393934,767.9604256572073,0.45572300263133403,24
4,seasonal_change,cv,816.4333333333333,1063.6527099261925,0.814831155312011,120
4,seasonal_change,holdout,510.7083333333332,741.1917846729459,0.4930052141550436,24
4,seasonal_naive,cv,1455.5,1912.0971383971753,0.4016047766101196,120
4,seasonal_naive,holdout,831.5833333333334,993.0482113170539,0.0899128845140913,24
4,seasonal_ridge_change,cv,870.5640970854547,1095.033278092593,0.8037440418967304,120
4,seasonal_ridge_change,holdout,631.9894173369934,765.4959613170442,0.4592106797018636,24
4,selected_padd_models,cv,816.17021484375,1041.0451437422666,0.8226189014155512,120
4,selected_padd_models,holdout,598.376220703125,710.920406923936,0.5335723791250022,24
4,spline_ridge_change,cv,989.4131001822922,1413.8881046871966,0.6728112997764912,120
4,spline_ridge_change,holdout,592.5255113516429,765.2556069785344,0.45955022598260653,24
4,xgboost_change,cv,816.17021484375,1041.0451437422666,0.8226189014155512,120
4,xgboost_change,holdout,598.376220703125,710.920406923936,0.5335723791250022,24
5,constrained_level,cv,1824.2454698537679,2326.0457562004476,0.5524530652651731,120
5,constrained_level,holdout,1808.4074629298154,2424.8706369523884,-0.30821668030707605,24
5,damped_ridge_change,cv,1913.245168799142,2363.4596757109875,0.5379398936528377,120
5,damped_ridge_change,holdout,1882.2517594388503,2428.2104413248085,-0.3118228080654588,24
5,deployed_policy,cv,1876.54,2378.9089937756476,0.5318794180542595,120
5,deployed_policy,holdout,2086.7166666666667,2567.136487736222,-0.4662244325147804,24
5,ensemble_change,cv,1830.3784316436452,2265.0392858195114,0.5756213198171392,120
5,ensemble_change,holdout,1842.5892536642589,2427.896337511356,-0.3114834454722659,24
5,forecast_flow_identity,cv,1930.441220380448,2441.8518886377374,0.5067799577554876,120
5,forecast_flow_identity,holdout,2080.100422175983,2652.6795313752905,-0.5655686120484067,24
5,legacy_constrained_level,cv,1951.482637419926,2433.239866483983,0.5102528396347474,120
5,legacy_constrained_level,holdout,1805.6440355845416,2396.7095359419322,-0.2780073181292646,24
5,neural_network_change,cv,1866.0561152451303,2344.7318829496558,0.5452335080494531,120
5,neural_network_change,holdout,1711.0745953477233,2209.035390568635,-0.0856951065536602,24
5,persistence,cv,1981.9666666666667,2470.6192611030406,0.495090286736122,120
5,persistence,holdout,1964.4166666666667,2519.889151001157,-0.41275029451689615,24
5,polynomial_ridge_change,cv,1975.6360919491842,2493.4188087470375,0.485728399327756,120
5,polynomial_ridge_change,holdout,1925.9965242471346,2405.372883696296,-0.28726320185833254,24
5,random_forest_change,cv,1863.7535390783091,2290.6457111835193,0.5659718217717099,120
5,random_forest_change,holdout,1832.7130596488093,2473.771445268725,-0.36151263915163856,24
5,ridge_change,cv,1897.35053123396,2345.268786927649,0.5450252165212839,120
5,ridge_change,holdout,1774.4078738425815,2376.280299502659,-0.256313041317751,24
5,rolling_ridge_change,cv,1891.0367650768344,2342.032865283145,0.5462798676460283,120
5,rolling_ridge_change,holdout,1932.6809699191417,2425.05492113565,-0.30841553034028313,24
5,seasonal_change,cv,1876.54,2378.9089937756476,0.5318794180542595,120
5,seasonal_change,holdout,2086.7166666666667,2567.136487736222,-0.4662244325147804,24
5,seasonal_naive,cv,3118.508333333333,3940.669658615567,-0.28452375404662367,120
5,seasonal_naive,holdout,2500.75,2870.890541278089,-0.8337317384077847,24
5,seasonal_ridge_change,cv,1888.8801229083467,2339.2752536987805,0.5473476983433232,120
5,seasonal_ridge_change,holdout,1819.522482159161,2369.6698966844883,-0.24933307005892225,24
5,selected_padd_models,cv,1768.9290882699177,2229.1457856590127,0.5889647916526637,120
5,selected_padd_models,holdout,2153.527007284113,2706.078608076922,-0.6292335671442206,24
5,spline_ridge_change,cv,1768.9290882699177,2229.1457856590127,0.5889647916526637,120
5,spline_ridge_change,holdout,2153.527007284113,2706.078608076922,-0.6292335671442206,24
5,xgboost_change,cv,1797.816796875,2227.9214104635134,0.5894161960487074,120
5,xgboost_change,holdout,1906.4269205729167,2484.361467030644,-0.373194648522047,24
