mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score,mean_test_mae_kb,padd,model,stage,train_end,param_model__polynomialfeatures__degree,param_model__splinetransformer__degree,param_model__splinetransformer__n_knots,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,param_model__learning_rate,param_model__reg_lambda,param_model__regressor__mlpregressor__alpha,param_model__regressor__mlpregressor__hidden_layer_sizes,param_model__weights,param_model__regressor__huberregressor__alpha,param_model__regressor__huberregressor__epsilon
0.030143189430236816,0.007658901838305881,0.016728901863098146,0.008582212041402122,1.0,"{""ridge__alpha"": 1, ""splinetransformer__degree"": 2, ""splinetransformer__n_knots"": 3}",-3439.5641248026473,-2570.5252361774033,-1724.0001256220783,-2047.055521387754,-1774.463753146031,-1684.1864692893216,-1058.6786245896558,-636.6122929667779,-2463.9468678085764,-1482.2038586964743,-1888.123687448672,756.9641517667683,13,-630.9072948541349,-682.9534025675667,-751.1826773305029,-778.3658822179538,-889.3267200921641,-944.6132335685809,-977.0268305064795,-976.865137940979,-957.585767175625,-918.7910323221759,-850.7617978576163,122.40605503472511,1888.123687448672,1,spline_ridge_change,development,2024-06-01,,2.0,3.0,,,,,,,,,,
0.031557536125183104,0.009223865827338749,0.021449995040893555,0.008115374861379207,1.0,"{""ridge__alpha"": 1, ""splinetransformer__degree"": 2, ""splinetransformer__n_knots"": 5}",-6519.980658204445,-4912.523228383911,-4744.238000925742,-4791.503442945375,-2458.122968416333,-3394.0393828592205,-4089.511425863065,-2199.7559418722944,-4007.0434098954865,-641.0218893973421,-3775.774034876322,1585.4603053779172,16,-451.8130007906251,-498.1891851996923,-589.1912564424932,-627.7148756479643,-678.5911935864033,-769.8989110508026,-840.4417259463835,-902.1817544678644,-1012.8854144283882,-819.2813138539958,-719.0188631414613,171.5464328477191,3775.774034876322,1,spline_ridge_change,development,2024-06-01,,2.0,5.0,,,,,,,,,,
0.03690085411071777,0.011854224522918944,0.01539175510406494,0.006937201786442839,1.0,"{""ridge__alpha"": 1, ""splinetransformer__degree"": 2, ""splinetransformer__n_knots"": 7}",-10681.739260260658,-3324.6970006901342,-8298.08425937561,-3786.7614006996923,-3391.914050914064,-4954.145170520927,-1464.115586994392,-1093.612183608026,-2367.1855715639813,-4538.787128993966,-4390.104161362145,2849.7929059524295,17,-199.57897797580094,-353.17262003072136,-401.89497049869397,-504.6127922418051,-564.0506672935409,-670.1275094150784,-759.322892297815,-845.5795450512495,-812.3382128495672,-778.7652493969997,-588.9443437051272,209.12451965815927,4390.104161362145,1,spline_ridge_change,development,2024-06-01,,2.0,7.0,,,,,,,,,,
0.02871084213256836,0.010227058353857952,0.029551315307617187,0.014255071010830702,1.0,"{""ridge__alpha"": 1, ""splinetransformer__degree"": 3, ""splinetransformer__n_knots"": 3}",-3240.3210305699704,-3252.785501383707,-1921.047948401507,-3239.4369086199863,-2245.9392496531714,-2071.3537800070994,-4229.176612410939,-2640.350151838058,-2692.806602050001,-1471.6121996066188,-2700.4829984541057,771.2048725979845,14,-584.4205889859509,-639.089811944825,-691.0656496201536,-715.2515361557715,-804.8753671998388,-843.6374495483467,-886.711331410203,-948.3748611653665,-978.5526968366485,-882.4377300965615,-797.4417022963667,127.07836658481679,2700.4829984541057,1,spline_ridge_change,development,2024-06-01,,3.0,3.0,,,,,,,,,,
0.040022540092468264,0.009876685767364545,0.01651771068572998,0.014008185985924715,1.0,"{""ridge__alpha"": 1, ""splinetransformer__degree"": 3, ""splinetransformer__n_knots"": 5}",-2955.6506220942592,-4167.076432952311,-5667.603969204647,-5694.559910644767,-2727.019842988371,-1981.3653410943516,-2862.9250977396237,-1050.91393275494,-2183.8235691905825,-1582.8459342143967,-3087.378465287825,1525.4107226405933,15,-378.99382159241054,-442.58660256206133,-480.672967243696,-595.7653537577233,-633.8160943804281,-721.9311993740516,-815.7055960613019,-841.8457631107304,-822.8434214779573,-795.2777196483019,-652.9438539208662,163.91176470782074,3087.378465287825,1,spline_ridge_change,development,2024-06-01,,3.0,5.0,,,,,,,,,,
0.030925798416137695,0.0119111415380057,0.017314910888671875,0.01159802770838185,1.0,"{""ridge__alpha"": 1, ""splinetransformer__degree"": 3, ""splinetransformer__n_knots"": 7}",-8370.22492799024,-3286.3648895864767,-6597.185015618594,-8087.452899633659,-3376.714185816498,-4909.649434621495,-2711.643708370139,-1186.8848683019073,-2900.339233317076,-5025.17464810864,-4645.163381136473,2279.212301648798,18,-264.9727839702213,-292.6164381973814,-366.287816651447,-434.6091803162437,-494.73553219935815,-621.9637987992735,-729.3042809177621,-790.135402919386,-783.7172120881193,-745.6641599607387,-552.4006606019932,196.32895175638183,4645.163381136473,1,spline_ridge_change,development,2024-06-01,,3.0,7.0,,,,,,,,,,
0.027071666717529298,0.009395652107089963,0.01516866683959961,0.009748654459439182,100.0,"{""ridge__alpha"": 100, ""splinetransformer__degree"": 2, ""splinetransformer__n_knots"": 3}",-1125.1216474437265,-1106.1627574034553,-1321.0365876052153,-1793.5269989642939,-1407.7588869583099,-1280.814431233782,-861.5280230155232,-556.1968717479833,-721.4128005185838,-737.4947329211791,-1091.1053737812051,358.39269771645803,3,-886.8584146334903,-855.4143538451308,-869.7383838022783,-931.4796354937394,-1009.3180564799044,-1044.8443403235826,-1057.9967535102944,-1031.6408429451587,-1001.005209844912,-963.18341715458,-965.147940803307,71.44338649039796,1091.1053737812051,1,spline_ridge_change,development,2024-06-01,,2.0,3.0,,,,,,,,,,
0.02533986568450928,0.009638558762578176,0.016893577575683594,0.0053573490761471155,100.0,"{""ridge__alpha"": 100, ""splinetransformer__degree"": 2, ""splinetransformer__n_knots"": 5}",-1480.2584230195177,-1178.8642556809366,-1652.144870706991,-2540.4964132728705,-1417.1826281405927,-1391.5294584753753,-1311.696448367865,-914.0793233488772,-1269.5774052516365,-485.7213234989065,-1364.155054976357,500.4000300852042,9,-844.4325306554614,-821.2573709295128,-847.2755210340614,-896.5796562941265,-975.8536533944231,-1006.8523227412063,-1028.9650012358416,-1017.9617683276477,-986.4561473213379,-944.9880270357052,-937.0621998969324,74.53883687650048,1364.155054976357,1,spline_ridge_change,development,2024-06-01,,2.0,5.0,,,,,,,,,,
0.03418920040130615,0.012258488942969614,0.015344858169555664,0.00532977043767004,100.0,"{""ridge__alpha"": 100, ""splinetransformer__degree"": 2, ""splinetransformer__n_knots"": 7}",-1491.4899224392163,-1418.232880652463,-1801.9439149228429,-2953.236948081567,-1509.336070970431,-1434.7451845827336,-1089.291097984929,-1210.9858001037987,-1730.6421634341812,-488.2627686651047,-1512.8166751837266,595.1090456834247,11,-792.7490592565557,-770.0661872573804,-798.3869565521283,-849.9344875494946,-929.620630489044,-969.2346466285579,-992.6188403970764,-993.3505997344986,-970.0401295565645,-918.0359355446719,-898.4037472965972,83.2983569608902,1512.8166751837266,1,spline_ridge_change,development,2024-06-01,,2.0,7.0,,,,,,,,,,
0.02532329559326172,0.012803307347484597,0.02005596160888672,0.009881175270037892,100.0,"{""ridge__alpha"": 100, ""splinetransformer__degree"": 3, ""splinetransformer__n_knots"": 3}",-1153.651729896106,-1114.6102778599766,-1197.000891182409,-1963.8325831632771,-1440.8113433855276,-1331.7214621501987,-995.9962759606302,-682.520450975477,-698.3370929491584,-926.2281943195707,-1150.4710301842329,357.7313952821523,7,-862.2374795859686,-829.7842872739154,-851.237560536959,-903.5921584493077,-989.108785004223,-1031.2483590490233,-1052.0137007895084,-1031.4417444175206,-1004.177111333418,-963.9610102631264,-951.880219670297,78.94735430454233,1150.4710301842329,1,spline_ridge_change,development,2024-06-01,,3.0,3.0,,,,,,,,,,
