padd,padd_name,model,fold,train_n,test_n,train_rmse_kb,test_rmse_kb
4,Rocky Mountain,Persistence,5,106,21,727.6930204938561,932.723074300906
4,Rocky Mountain,Linear regression,5,106,21,676.7344631248757,1611.9220543166605
4,Rocky Mountain,Random forest,5,106,21,627.9668751772308,4515.708365980333
4,Rocky Mountain,XGBoost,5,106,21,592.9160183236716,4681.874514413648
4,Rocky Mountain,Neural network,5,106,21,795.1105230792291,2902.2046362642063
4,Rocky Mountain,Persistence,6,127,21,765.3950397860792,1151.692109153186
4,Rocky Mountain,Linear regression,6,127,21,745.6120132279331,1178.2797639634748
4,Rocky Mountain,Random forest,6,127,21,735.0014811166416,1297.3770195800257
4,Rocky Mountain,XGBoost,6,127,21,684.6414084029719,1254.9552033079221
4,Rocky Mountain,Neural network,6,127,21,860.7804420128475,1354.224738813685
4,Rocky Mountain,Persistence,7,148,21,831.2098151229669,1471.80215091179
4,Rocky Mountain,Linear regression,7,148,21,812.7417357244324,1456.6805677481716
4,Rocky Mountain,Random forest,7,148,21,753.2495055593976,1494.3072131352621
4,Rocky Mountain,XGBoost,7,148,21,705.2302127536234,1531.7738228124858
4,Rocky Mountain,Neural network,7,148,21,888.8671464237785,1836.3591705523572
4,Rocky Mountain,Persistence,8,169,21,935.0026959427006,1152.2839845074568
4,Rocky Mountain,Linear regression,8,169,21,910.1482116702382,1127.1759337329806
4,Rocky Mountain,Random forest,8,169,21,753.8779466881396,757.3385955113695
4,Rocky Mountain,XGBoost,8,169,21,712.6158266447384,834.1287960367828
4,Rocky Mountain,Neural network,8,169,21,929.217405042302,1145.6544254131122
4,Rocky Mountain,Persistence,9,190,21,961.4347912857828,872.808657370533
4,Rocky Mountain,Linear regression,9,190,21,936.2962485931517,907.3756095044956
4,Rocky Mountain,Random forest,9,190,21,718.0194403930542,1019.9488527870079
4,Rocky Mountain,XGBoost,9,190,21,680.4092679754052,1056.7434639609396
4,Rocky Mountain,Neural network,9,190,21,999.07662022835,785.0435718094008
4,Rocky Mountain,Persistence,10,211,21,952.9835837518262,802.3192572013902
4,Rocky Mountain,Linear regression,10,211,21,931.8030532056429,800.369011781607
4,Rocky Mountain,Random forest,10,211,21,727.5710747456855,966.147147459229
4,Rocky Mountain,XGBoost,10,211,21,696.5730946947207,946.5033436956694
4,Rocky Mountain,Neural network,10,211,21,994.883018028075,1252.870422147938
5,West Coast,Persistence,1,22,21,2271.306302149012,2691.944685627138
5,West Coast,Linear regression,1,22,21,1591.7426728007208,2633.020103639355
5,West Coast,Random forest,1,22,21,1974.917594168695,3179.8630270671733
5,West Coast,XGBoost,1,22,21,1862.6022055910337,3084.767257813693
5,West Coast,Neural network,1,22,21,2358.416188466836,3319.9734893561695
5,West Coast,Persistence,2,43,21,2485.643433614276,2613.1345526926452
5,West Coast,Linear regression,2,43,21,2004.6359082534782,2309.2774641579954
5,West Coast,Random forest,2,43,21,2254.373200069996,2892.6375703773965
5,West Coast,XGBoost,2,43,21,2085.7970311173644,2741.3303785025005
5,West Coast,Neural network,2,43,21,2199.223070664839,2418.3269003190344
5,West Coast,Persistence,3,64,21,2528.1852341402914,1578.9892487344705
5,West Coast,Linear regression,3,64,21,2070.358349648298,2962.8150055592587
5,West Coast,Random forest,3,64,21,2150.901969212573,1428.5663349865827
5,West Coast,XGBoost,3,64,21,1944.5259990471964,1357.4841610380656
5,West Coast,Neural network,3,64,21,1948.6849565729622,2529.450172886806
5,West Coast,Persistence,4,85,21,2329.926696650499,2520.438302774983
5,West Coast,Linear regression,4,85,21,1958.2071502720748,2537.5604622410588
5,West Coast,Random forest,4,85,21,1885.4086984180826,2331.8698016672333
5,West Coast,XGBoost,4,85,21,1716.970527349762,2472.0759068053067
5,West Coast,Neural network,4,85,21,1860.3201321637628,2833.0215129330986
5,West Coast,Persistence,5,106,21,2368.886887317683,2942.0950099578786
5,West Coast,Linear regression,5,106,21,2032.6627126132103,2551.5217567595287
5,West Coast,Random forest,5,106,21,1869.7474283849003,2515.9447420755105
5,West Coast,XGBoost,5,106,21,1783.1240815052463,2536.399886115157
5,West Coast,Neural network,5,106,21,2075.1205753912295,2888.004251383061
5,West Coast,Persistence,6,127,21,2472.8552195807733,2302.8791709923635
5,West Coast,Linear regression,6,127,21,2124.6402074313773,1994.0768491008841
5,West Coast,Random forest,6,127,21,1908.1694081530136,2440.0761766002724
5,West Coast,XGBoost,6,127,21,1843.7600500977778,2521.264246809926
5,West Coast,Neural network,6,127,21,2007.2090119744316,1842.5544953322835
5,West Coast,Persistence,7,148,21,2449.4551862525386,2498.092186335118
5,West Coast,Linear regression,7,148,21,2101.120758653497,2480.1876958056655
5,West Coast,Random forest,7,148,21,1884.102365200867,2360.2508373757423
5,West Coast,XGBoost,7,148,21,1817.4017996797618,2368.313498455094
5,West Coast,Neural network,7,148,21,2003.6841654984512,2840.702243762132
5,West Coast,Persistence,8,169,21,2455.5512535029443,1974.801955109616
5,West Coast,Linear regression,8,169,21,2135.7361407080784,2518.9516220704045
5,West Coast,Random forest,8,169,21,1894.276464056263,1957.383968185553
5,West Coast,XGBoost,8,169,21,1829.4981295443104,2286.779850288712
5,West Coast,Neural network,8,169,21,2031.8051485605363,2742.3942358988547
5,West Coast,Persistence,9,190,21,2407.14003594132,2494.4666860110697
5,West Coast,Linear regression,9,190,21,2138.433637250013,2192.6982529582097
5,West Coast,Random forest,9,190,21,1859.4066626059425,2231.5178514298964
5,West Coast,XGBoost,9,190,21,1799.8299869911405,2247.414923229965
5,West Coast,Neural network,9,190,21,2165.1800857157637,2254.1404065286433
5,West Coast,Persistence,10,211,21,2415.972760431483,2141.590263599192
5,West Coast,Linear regression,10,211,21,2138.938702129538,2003.9186691399163
5,West Coast,Random forest,10,211,21,1866.1863524577507,1954.5265104405846
5,West Coast,XGBoost,10,211,21,1817.3512578506088,2046.0234632678666
5,West Coast,Neural network,10,211,21,2135.6311237571044,2189.9740722430674
