time_period,flow_breakdown,obs_value,assessment_code
2020-04-01,STOCKCH,52962.0,1
2020-05-01,CLOSTLV,1037362.0,1
2020-05-01,STOCKCH,4374.0,1
2020-06-01,CLOSTLV,1056846.0,1
2020-06-01,STOCKCH,19484.0,1
2020-07-01,CLOSTLV,1045065.0,1
2020-07-01,STOCKCH,-11781.0,1
2020-08-01,CLOSTLV,1022932.0,1
2020-08-01,STOCKCH,-22133.0,1
2020-09-01,CLOSTLV,1010696.0,1
2020-09-01,STOCKCH,-12236.0,1
2020-10-01,CLOSTLV,1002993.0,1
2020-10-01,STOCKCH,-7703.0,1
2020-11-01,CLOSTLV,1009338.0,1
2020-11-01,STOCKCH,6345.0,1
2020-12-01,CLOSTLV,992984.0,1
2020-12-01,STOCKCH,-16354.0,1
2021-01-01,CLOSTLV,995862.0,1
2021-01-01,STOCKCH,2878.0,1
2021-02-01,CLOSTLV,1013489.0,1
2021-02-01,STOCKCH,17627.0,1
2021-03-01,CLOSTLV,1019757.0,1
2021-03-01,STOCKCH,6268.0,1
2021-04-01,CLOSTLV,1003743.0,1
2021-04-01,STOCKCH,-16014.0,1
2021-05-01,CLOSTLV,983867.0,1
2021-05-01,STOCKCH,-19876.0,1
2021-06-01,CLOSTLV,947178.0,1
2021-06-01,STOCKCH,-36689.0,1
2021-07-01,CLOSTLV,936596.0,1
2021-07-01,STOCKCH,-10582.0,1
2021-08-01,CLOSTLV,916912.0,1
2021-08-01,STOCKCH,-19684.0,1
2021-09-01,CLOSTLV,911702.0,1
2021-09-01,STOCKCH,-5210.0,1
2021-10-01,CLOSTLV,920826.0,1
2021-10-01,STOCKCH,9124.0,1
2021-11-01,CLOSTLV,909031.0,1
2021-11-01,STOCKCH,-11795.0,1
2021-12-01,CLOSTLV,888696.0,1
2021-12-01,STOCKCH,-20335.0,1
2022-01-01,CLOSTLV,876182.0,1
2022-01-01,STOCKCH,-12514.0,1
2022-02-01,CLOSTLV,861589.0,1
2022-02-01,STOCKCH,-14593.0,1
2022-03-01,CLOSTLV,843119.0,1
2022-03-01,STOCKCH,-18470.0,1
2022-04-01,CLOSTLV,829651.0,1
2022-04-01,STOCKCH,-13468.0,1
2022-05-01,CLOSTLV,800051.0,1
2022-05-01,STOCKCH,-29600.0,1
2022-06-01,CLOSTLV,775187.0,1
2022-06-01,STOCKCH,-24864.0,1
2022-07-01,CLOSTLV,756583.0,1
2022-07-01,STOCKCH,-18604.0,1
2022-08-01,CLOSTLV,728256.0,1
2022-08-01,STOCKCH,-28327.0,1
2022-09-01,CLOSTLV,708661.0,1
2022-09-01,STOCKCH,-19595.0,1
2022-10-01,CLOSTLV,701646.0,1
2022-10-01,STOCKCH,-7015.0,1
2022-11-01,CLOSTLV,668405.0,1
2022-11-01,STOCKCH,-33241.0,1
2022-12-01,CLOSTLV,665223.0,1
2022-12-01,STOCKCH,-3182.0,1
2023-01-01,CLOSTLV,694734.0,1
2023-01-01,STOCKCH,29511.0,1
2023-02-01,CLOSTLV,707285.0,1
2023-02-01,STOCKCH,12551.0,1
2023-03-01,CLOSTLV,702526.0,1
2023-03-01,STOCKCH,-4759.0,1
2023-04-01,CLOSTLV,689525.0,1
2023-04-01,STOCKCH,-13001.0,1
2023-05-01,CLOSTLV,681096.0,1
2023-05-01,STOCKCH,-8429.0,1
2023-06-01,CLOSTLV,667806.0,1
2023-06-01,STOCKCH,-13290.0,1
2023-07-01,CLOSTLV,653154.0,1
