month,padd,padd_name,forecast_production_kb,forecast_demand_kb,forecast_imports_kb,forecast_exports_kb,forecast_supply_kb,forecast_refinery_demand_kb,forecast_total_demand_kb,forecast_balance_kb,identity_stock_kb,regression_stock_kb
2026-10-01,2,Midwest,56682.816666666666,115672.35277777778,90630.22777777778,1545.3944444444442,147313.04444444444,115672.35277777778,117217.74722222223,30095.297222222216,204661.18611111108,101423.98811499248
2026-11-01,2,Midwest,55185.916666666664,118104.65277777778,90903.62777777779,2275.7944444444433,146089.54444444444,118104.65277777778,120380.44722222222,25709.09722222222,230370.2833333333,102150.75080264869
2026-12-01,2,Midwest,55754.416666666664,123263.95277777778,97743.52777777778,2256.994444444443,153497.94444444444,123263.95277777778,125520.94722222222,27976.997222222213,258347.2805555555,102025.49335159326
2027-01-01,2,Midwest,54514.71666666666,122821.35277777778,97421.22777777778,2195.294444444444,151935.94444444444,122821.35277777778,125016.64722222222,26919.297222222216,285266.57777777774,101812.72102329749
2027-02-01,2,Midwest,49511.316666666666,108449.95277777777,87512.72777777778,2249.3944444444437,137024.04444444444,108449.95277777777,110699.34722222222,26324.697222222225,311591.27499999997,103401.36267727826
2027-03-01,2,Midwest,55871.61666666666,118415.05277777778,95426.82777777778,2299.5944444444435,151298.44444444444,118415.05277777778,120714.64722222222,30583.797222222216,342175.07222222217,104044.4684465154
2027-04-01,2,Midwest,52750.316666666666,112825.65277777778,90352.62777777777,1902.6944444444434,143102.94444444444,112825.65277777778,114728.34722222222,28374.59722222222,370549.66944444436,105167.01285473249
2027-05-01,2,Midwest,53086.816666666666,121759.25277777779,93098.02777777778,1959.994444444444,146184.84444444446,121759.25277777779,123719.24722222223,22465.597222222234,393015.2666666666,104697.83040263121
2026-06-01,3,Gulf Coast,315709.7638888889,271438.5444444444,26306.88333333334,142689.75555555554,342016.64722222224,271438.5444444444,414128.29999999993,-72111.6527777777,527672.3472222222,596001.2333828164
2026-07-01,3,Gulf Coast,326406.7638888889,280329.94444444444,28792.483333333337,144046.85555555555,355199.2472222222,280329.94444444444,424376.8,-69177.55277777778,458494.7944444445,593064.8323653213
2026-08-01,3,Gulf Coast,328234.36388888885,277015.2444444444,21532.883333333324,146751.35555555555,349767.24722222215,277015.2444444444,423766.6,-73999.35277777782,384495.44166666665,589884.5734356712
2026-09-01,3,Gulf Coast,320202.96388888883,257112.54444444441,19301.083333333336,145403.75555555557,339504.04722222214,257112.54444444441,402516.3,-63012.252777777845,321483.1888888888,589685.2705993196
2026-10-01,3,Gulf Coast,330879.7638888889,265183.0444444444,17089.983333333323,152426.15555555554,347969.7472222222,265183.0444444444,417609.19999999995,-69639.45277777774,251843.73611111107,588089.9137943756
2026-11-01,3,Gulf Coast,327895.6638888889,269171.64444444445,16554.88333333333,148369.35555555555,344450.5472222222,269171.64444444445,417541.0,-73090.4527777778,178753.28333333327,585829.5345113797
2026-12-01,3,Gulf Coast,336032.36388888885,280895.94444444444,17877.88333333333,154902.55555555556,353910.24722222215,280895.94444444444,435798.5,-81888.25277777785,96865.03055555542,581017.3057295845
2027-01-01,3,Gulf Coast,333397.4638888889,267827.0444444444,21139.88333333333,150653.75555555557,354537.34722222225,267827.0444444444,418480.8,-63943.45277777774,32921.57777777768,580659.1321285814
2027-02-01,3,Gulf Coast,310838.36388888885,233269.7444444444,13503.383333333331,150328.05555555556,324341.74722222215,233269.7444444444,383597.79999999993,-59256.052777777775,-26334.475000000093,581661.2218670787
2027-03-01,3,Gulf Coast,341348.96388888883,272022.5444444444,19241.08333333333,157848.35555555555,360590.04722222214,272022.5444444444,429870.89999999997,-69280.85277777782,-95615.32777777791,580050.7934203479
2027-04-01,3,Gulf Coast,332287.7638888889,266988.7444444444,18286.98333333333,158207.05555555556,350574.7472222222,266988.7444444444,425195.8,-74621.05277777778,-170236.3805555557,576759.4900060676
2027-05-01,3,Gulf Coast,335291.86388888885,280646.5444444444,23188.183333333334,160195.25555555554,358480.0472222222,280646.5444444444,440841.79999999993,-82361.75277777773,-252598.13333333342,570746.8351874802
2026-06-01,4,Rocky Mountain,30855.277777777777,18108.80555555556,11660.777777777776,0.0,42516.055555555555,18108.80555555556,18108.80555555556,24407.249999999996,48513.25,24231.297758294753
2026-07-01,4,Rocky Mountain,31884.477777777778,19074.105555555558,12217.477777777776,0.0,44101.955555555556,19074.105555555558,19074.105555555558,25027.85,73541.1,24344.27962905364
2026-08-01,4,Rocky Mountain,32463.67777777778,18985.00555555556,12272.977777777776,0.0,44736.65555555555,18985.00555555556,18985.00555555556,25751.649999999994,99292.75,24482.62293282724
2026-09-01,4,Rocky Mountain,31787.977777777778,18339.105555555558,12401.577777777777,0.0,44189.555555555555,18339.105555555558,18339.105555555558,25850.449999999997,125143.2,24609.840617466427
2026-10-01,4,Rocky Mountain,33036.077777777784,17861.00555555556,12180.477777777776,0.0,45216.55555555556,17861.00555555556,17861.00555555556,27355.550000000003,152498.75,24818.542175246555
2026-11-01,4,Rocky Mountain,32469.37777777778,17290.905555555557,12276.377777777776,0.0,44745.75555555556,17290.905555555557,17290.905555555557,27454.850000000002,179953.6,25011.1726295686
2026-12-01,4,Rocky Mountain,33008.97777777778,17771.80555555556,12530.177777777777,0.0,45539.15555555555,17771.80555555556,17771.80555555556,27767.349999999995,207720.95,25187.331633200312
2027-01-01,4,Rocky Mountain,32387.977777777778,17710.705555555556,12573.077777777777,0.0,44961.055555555555,17710.705555555556,17710.705555555556,27250.35,234971.30000000002,25318.421467484128
2027-02-01,4,Rocky Mountain,30012.977777777778,16074.605555555558,11571.577777777777,0.0,41584.555555555555,16074.605555555558,16074.605555555558,25509.949999999997,260481.25,25406.225501962424
2027-03-01,4,Rocky Mountain,32824.77777777778,17296.705555555556,12008.577777777777,0.0,44833.35555555556,17296.705555555556,17296.705555555556,27536.65,288017.9,25564.1908639964
2027-04-01,4,Rocky Mountain,32038.57777777778,15835.605555555558,11347.577777777777,0.0,43386.15555555555,15835.605555555558,15835.605555555558,27550.549999999996,315568.45,25750.018708511736
2027-05-01,4,Rocky Mountain,32690.977777777778,17053.905555555557,11581.677777777777,0.0,44272.65555555555,17053.905555555557,17053.905555555557,27218.749999999996,342787.2,25883.795833607262
2026-06-01,5,West Coast,19014.75,61743.74444444444,37259.2,697.0333333333336,56273.95,61743.74444444444,62440.777777777774,-6166.827777777777,41204.17222222222,47234.514282292694
2026-07-01,5,West Coast,19312.45,64579.64444444444,37002.49999999999,115.03333333333359,56314.95,64579.64444444444,64694.677777777775,-8379.727777777778,32824.444444444445,47093.148383151536
2026-08-01,5,West Coast,19351.550000000003,65933.94444444444,40603.799999999996,360.33333333333303,59955.35,65933.94444444444,66294.27777777777,-6338.927777777768,26485.516666666677,46924.15162421643
2026-09-01,5,West Coast,19188.65,62151.94444444444,37110.799999999996,597.5333333333334,56299.45,62151.94444444444,62749.47777777777,-6450.027777777774,20035.488888888904,46980.99851009471
2026-10-01,5,West Coast,20343.25,59612.44444444444,34632.6,124.23333333333346,54975.85,59612.44444444444,59736.67777777777,-4760.827777777769,15274.661111111134,47495.580104516135
2026-11-01,5,West Coast,19716.550000000003,59016.34444444444,33874.5,259.63333333333367,53591.05,59016.34444444444,59275.97777777777,-5684.927777777768,9589.733333333366,47692.07021750828
2026-12-01,5,West Coast,20301.350000000002,61716.24444444444,34323.899999999994,219.03333333333342,54625.25,61716.24444444444,61935.277777777774,-7310.027777777774,2279.7055555555926,47726.624087255565
2027-01-01,5,West Coast,20246.25,59987.24444444444,35597.5,367.83333333333326,55843.75,59987.24444444444,60355.07777777778,-4511.327777777777,-2231.622222222184,47869.81274973693
2027-02-01,5,West Coast,18020.55,53471.14444444444,32280.5,271.03333333333313,50301.05,53471.14444444444,53742.177777777775,-3441.1277777777723,-5672.749999999956,47998.77302424518
2027-03-01,5,West Coast,19917.550000000003,61200.24444444444,34317.6,237.93333333333328,54235.15,61200.24444444444,61438.177777777775,-7203.027777777774,-12875.77777777773,47875.1723626532
2027-04-01,5,West Coast,19269.95,55728.84444444445,32519.6,553.3333333333337,51789.55,55728.84444444445,56282.17777777778,-4492.62777777778,-17368.40555555551,48015.662580944816
2027-05-01,5,West Coast,19508.15,59423.544444444444,34399.5,1080.6333333333334,53907.65,59423.544444444444,60504.177777777775,-6596.527777777774,-23964.933333333283,47781.53923287577
